Date,NFLX,AAPL,TSLA
2017-11-24,-0.9,-0.0325,0.352
2017-11-27,-0.51,-0.24,0.712
2017-11-28,3.84,-0.3075,0.238
2017-11-29,-10.76,-0.7875,-1.952
2017-11-30,-2.73,0.355,0.058
2017-12-01,-0.17,0.275,0.218
2017-12-04,-5.32,-0.67,-0.26
2017-12-05,0.71,0.145,0.34
2017-12-06,1.92,0.3775,2.632
2017-12-07,-0.51,0.0725,-0.152
2017-12-08,2.04,-0.28,0.106
2017-12-11,-1.63,0.8675,2.856
2017-12-12,-0.28,-0.1125,2.11601
2017-12-13,1.76,-0.0575,-0.38
2017-12-14,1.58,-0.045,-0.624
2017-12-15,0.51,0.085,0.28201
2017-12-18,-0.78,0.385,-1.206
2017-12-19,-3.16,-0.1225,-1.832
2017-12-20,0.88,-0.13,-0.742
2017-12-21,-0.82,0.21,0.414
2017-12-22,1.61,0.0825,-0.862
2017-12-26,-2.02,-0.0575,-1.308
2017-12-27,-1.56,0.125,-0.872
2017-12-28,5.53,0.02,0.722
2017-12-29,-0.55,-0.3225,-0.966
2018-01-02,4.97,0.525,1.706
2018-01-03,3.0,-0.075,-0.75
2018-01-04,-0.57,0.1225,0.35
2018-01-05,2.74,0.39,-0.008
2018-01-08,2.03,0.0,4.082
2018-01-09,-2.8,-0.055,-0.294
2018-01-10,4.95,0.2825,0.52
2018-01-11,2.95,0.1725,0.542
2018-01-12,4.05,0.2275,-0.48199
2018-01-16,-2.71,-0.4275,0.504
2018-01-17,-3.5,0.7375,1.338
2018-01-18,-0.01,-0.0275,-0.22
2018-01-19,-2.29,-0.0375,1.004
2018-01-22,5.58,-0.075,0.432
2018-01-23,-4.76,-0.065,-1.442
2018-01-24,10.42,-0.7575,-1.738
2018-01-25,6.7,-0.85,-2.126
2018-01-26,3.11,-0.1225,0.27
2018-01-29,10.39,-0.55,1.936
2018-01-30,1.8,0.36,0.136
2018-01-31,-11.64,0.14,1.36
2018-02-01,-1.34,0.1525,-0.35
2018-02-02,4.43,-1.375,-0.938
2018-02-05,-7.74,-0.6525,-0.968
